gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
2,4,28,22,0,0,2,0.3
4,3,7,40,0,0,0,0.3
4,3,7,35,0,0,2,0.3
1,1,22,40,0,0,2,0.3
2,7,54,26,5,4,1,0.3
4,7,20,30,0,0,2,0.3
4,1,35,28,1,1,1,0.3
2,7,45,29,0,0,1,0.3
4,7,54,2,0,0,1,0.3
2,1,39,22,5,4,2,0.3
4,7,54,3,0,0,2,0.3
0,1,39,0,0,0,2,0.3
4,3,7,28,0,0,0,0.3
4,1,9,40,0,0,2,0.3
0,7,54,10,0,0,1,0.3
2,1,50,11,0,0,1,0.3
4,4,29,2,0,0,0,0.3
4,7,54,12,0,0,2,0.3
4,2,12,29,0,0,2,0.3
2,1,39,10,5,4,2,0.3
2,1,39,5,5,4,2,0.3
2,1,52,2,0,0,2,0.3
4,7,54,19,0,0,2,0.3
4,3,8,7,0,0,2,0.3
2,7,38,11,2,2,1,0.3
1,2,12,28,0,0,2,0.3
2,3,7,22,0,0,0,0.3
1,7,49,26,0,0,2,0.3
2,7,38,28,2,2,1,0.3
1,7,54,2,0,0,1,0.3
4,7,20,41,1,1,1,0.3
3,7,54,2,0,0,2,0.3
4,7,20,19,1,1,1,0.3
2,3,14,1,0,0,2,0.3
2,1,50,0,5,4,1,0.3
4,1,22,2,0,0,2,0.3
2,7,20,11,1,1,2,0.3
2,1,50,11,5,4,2,0.3
4,7,49,17,0,0,1,0.3
4,4,29,6,0,0,0,0.3
2,7,54,11,5,4,2,0.3
4,1,48,25,0,0,1,0.3
2,3,53,12,0,0,2,0.3
1,1,22,1,0,0,2,0.3
2,7,54,0,0,0,2,0.3
2,1,52,0,0,0,1,0.3
2,1,52,1,2,2,2,0.3
4,7,21,24,1,1,2,0.3
2,1,52,5,0,0,2,0.3
4,7,15,28,0,0,1,0.3
2,7,46,0,0,0,2,0.3
2,1,50,1,5,4,2,0.3
4,1,10,2,1,1,2,0.3
2,1,39,7,0,0,2,0.3
2,7,54,21,0,0,2,0.3
4,4,26,3,0,0,2,0.3
4,3,6,29,0,0,0,0.3
